total_bill,tip,sex,smoker,day,time,size,name
50.97,3.03,Female,No,Sun,Dinner,2,amaya
31.02,4.98,Male,No,Sun,Dinner,3,nick
63.03,10.5,Male,No,Sun,Dinner,3,marcos
71.04,9.93,Male,No,Sun,Dinner,2,micheal
73.77,10.83,Female,No,Sun,Dinner,4,null
75.87,14.13,Male,No,Sun,Dinner,4,sara
26.31,6,Male,No,Sun,Dinner,2,dean
80.64,9.36,Male,No,Sun,Dinner,4,jemmy
45.12,5.88,Male,No,Sun,Dinner,2,null
44.34,9.69,Male,No,Sun,Dinner,2,null
30.81,5.13,Male,No,Sun,Dinner,2,null
105.78,15,Female,No,Sun,Dinner,4,null
46.26,4.71,Male,No,Sun,Dinner,2,amara
55.29,9,Male,No,Sun,Dinner,4,jayda
44.49,9.06,Female,No,Sun,Dinner,2,null
64.74,11.76,Male,No,Sun,Dinner,2,kem
30.99,5.01,Female,No,Sun,Dinner,3,null
48.87,11.13,Male,No,Sun,Dinner,3,null
50.91,10.5,Female,No,Sun,Dinner,3,sozy
61.95,10.05,Male,No,Sat,Dinner,3,murad
53.76,12.24,Male,No,Sat,Dinner,2,null
60.87,8.25,Female,No,Sat,Dinner,2,null
47.31,6.69,Female,No,Sat,Dinner,2,null
118.26,22.74,Male,No,Sat,Dinner,4,null
59.46,9.54,Male,No,Sat,Dinner,2,null
53.43,7.02,Male,No,Sat,Dinner,4,null
40.11,6,Male,No,Sat,Dinner,2,null
38.07,6,Male,No,Sat,Dinner,2,null
65.1,12.9,Male,No,Sat,null,2,null
58.95,9,Female,No,Sat,Dinner,2,null
28.65,4.35,Male,No,Sat,Dinner,2,null
55.05,7.5,Male,No,Sat,Dinner,4,null
45.18,9,Female,No,Sat,Dinner,2,null
62.07,7.35,Female,No,Sat,Dinner,4,null
53.34,9.81,Male,No,Sat,null,2,null
72.18,10.8,Male,No,Sat,Dinner,3,null
48.93,6,Male,No,Sat,Dinner,3,null
50.79,9.21,Female,No,Sat,Dinner,3,null
56.07,6.93,Male,No,Sat,Dinner,3,null
93.81,15,Male,No,Sat,Dinner,3,mahdi
48.12,6.72,Male,No,Sat,Dinner,3,null
52.38,7.62,Male,No,Sun,Dinner,2,null
41.82,9.18,Male,No,Sun,null,2,null
29.04,3.96,Male,No,Sun,Dinner,2,null
91.2,16.8,Male,No,Sun,Dinner,4,null
54.87,9,Male,No,Sun,Dinner,2,null
66.69,15,Male,No,Sun,Dinner,2,null
97.2,18,Male,No,Sun,Dinner,4,null
85.65,6.15,Male,No,Sun,Dinner,3,jurdy
54.12,9,Male,No,Sun,Dinner,2,null
37.62,7.5,Male,No,Sun,Dinner,2,null
30.87,7.8,Female,No,Sun,Dinner,2,null
104.43,15.6,Female,No,Sun,Dinner,4,null
29.82,4.68,Male,No,Sun,Dinner,2,null
76.68,13.02,Male,No,Sun,Dinner,4,null
58.47,10.53,Male,No,Sun,Dinner,2,null
114.03,9,Male,Yes,Sat,Dinner,4,null
79.23,4.5,Female,No,Sat,Dinner,2,null
33.72,5.28,Male,Yes,Sat,Dinner,2,null
144.81,20.19,Male,No,Sat,null,4,malek
60.87,9.63,Male,Yes,Sat,Dinner,2,nick
41.43,6,Male,Yes,Sat,Dinner,2,carla
33.06,5.94,Male,Yes,Sat,Dinner,2,null
54.87,11.28,Male,Yes,Sat,Dinner,4,muhammed
52.77,7.92,Male,No,Sat,Dinner,3,sebra
60.24,9.45,Male,No,Sat,Dinner,3,null
49.35,7.41,Female,No,Sat,Dinner,2,null
9.21,3,Female,Yes,Sat,Dinner,1,null
60.69,6.03,Male,No,Sat,Dinner,2,null
45.03,6.27,Male,Yes,Sat,Dinner,2,null
36.06,5.91,Male,No,Sat,Dinner,2,null
51.21,9,Female,No,Sat,Dinner,3,null
80.58,9.42,Female,Yes,Sat,Dinner,2,null
75.84,15,Female,Yes,Sat,Dinner,2,null
44.19,6.6,Female,No,Sat,Dinner,2,null
31.53,3.75,Male,No,Sat,Dinner,2,null
53.76,9.24,Male,Yes,Sat,Dinner,2,null
81.6,12,Male,No,Thur,Lunch,4,null
68.28,9,Male,No,Thur,Lunch,2,null
51.87,8.13,Male,No,Thur,Lunch,2,null
58.32,9,Male,Yes,Thur,Lunch,2,null
